County Level Latest Data for California
Date generated: Tue Dec 13 2022 18:39:03 GMT-0500 (Eastern Standard Time)
FIPS code,State Name,County,Weekly Cases,Weekly Case rate /100k,% Change in weekly Cases from past week,Test positivity rate - last 7 days,Test positivity rate - absolute change,Total diagnostic tests - last 7 days,Total diagnostic tests per 100k - last 7 days,Total diagnostic tests - % change from previous week,Weekly Deaths,Total admissions of confirmed COVID-19 patients over the past 7 days of reports per 100000 people including both adult and pediatric patients,Weekly Death rate /100k,% Change in weekly Deaths from past week,Population density - county,Average household size - county,Percent uninsured - county,Poverty rate - county,Percent population 65+ yrs - county,SVI,CCVI,Current date,Start date of 7 day window being captured in the case/death metrics,End date of 7 day window being captured in the case/death metrics,Start date of 7 day window being captured in the testing metrics,End date of 7 day window being captured in the testing metrics,Date of hospital data reports included in the latest table for a given county,Total number of hospitals reporting in a county for a particular day,Total admissions of confirmed COVID-19 patients over the past 7 days of reports including both adult and pediatric patients,Week over week percentage change in total COVID-19 admissions,Percentage of staffed adult inpatient beds used by confirmed COVID-19 patients over a trailing 7 day period,Week over week absolute change in percentage of staffed adult inpatient beds used by confirmed COVID-19 patients,Week over week absolute change in percentage of staffed adult ICU beds used by confirmed COVID-19 patients,Percentage of staffed adult ICU beds used by confirmed COVID-19 patients over a trailing 7 day period,Poverty rate - state,Percent population 65+ years - state,Population density - state,Average household size - state,Percent uninsured - state,Population density - US,Average household size - US,Percent uninsured - US,Poverty rate - US,Percent population 65+ years - US,Total county population,Metropolitan status,NCHS urban/rural class,RUCC description,Total state population,Total US population,Health Service Area Number
6001,California,Alameda County,3247,194.28,126.9,N/A,N/A,N/A,N/A,N/A,18,11,1.08,350,2266.8,2.81,5.1,10.6,14.29,0.4701,0.72,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,13,185,12.2,5.7,0.8,-0.6,5.2,14.3,14.78,253.64,2.96,8.5,94,2.52,9.2,10.5,16.3,1671329,Metro,Large central metro,Counties in metro areas of 1 million population or more,39512223,331996199,766
6003,California,Alpine County,0,0.00,-100,N/A,N/A,N/A,N/A,N/A,0,7.1,0.00,0,1.53,3.71,10.3,19.8,26.4,0.7287,0.43,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,0,0,-16.9,3.8,0,0,1.8,14.3,14.78,253.64,2.96,8.5,94,2.52,9.2,10.5,16.3,1129,Non-metro,Noncore,Completely rural or less than 2500 urban population adjacent to a metro area,39512223,331996199,701
6005,California,Amador County,46,115.72,155.56,N/A,N/A,N/A,N/A,N/A,0,10.7,0.00,-100,66.86,2.42,4.2,9.7,27.53,0.5334,0.5,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,1,4,-8.1,8.4,1.1,5.3,15.1,14.3,14.78,253.64,2.96,8.5,94,2.52,9.2,10.5,16.3,39752,Non-metro,Noncore,Urban population of 2500 to 19999 adjacent to a metro area,39512223,331996199,750
6007,California,Butte County,274,125.01,90.28,N/A,N/A,N/A,N/A,N/A,suppressed,16.3,suppressed,N/A,133.94,2.55,7.4,20.1,18.35,0.8064,0.78,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,3,36,-10.5,11.4,1.4,2.8,8.4,14.3,14.78,253.64,2.96,8.5,94,2.52,9.2,10.5,16.3,219186,Metro,Small metro,Counties in metro areas of fewer than 250000 population,39512223,331996199,697
6009,California,Calaveras County,51,111.10,96.15,N/A,N/A,N/A,N/A,N/A,0,10.7,0.00,0,45,2.57,5.2,11.7,28.03,0.235,0.23,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,1,5,-8.1,8.4,1.1,5.3,15.1,14.3,14.78,253.64,2.96,8.5,94,2.52,9.2,10.5,16.3,45905,Non-metro,Noncore,Urban population of 2500 to 19999 adjacent to a metro area,39512223,331996199,750
6011,California,Colusa County,25,116.03,177.78,N/A,N/A,N/A,N/A,N/A,0,9.1,0.00,0,18.72,2.99,10.3,13.8,14.92,0.7436,0.73,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,1,2,-21.7,5.3,-1.4,0.6,1.8,14.3,14.78,253.64,2.96,8.5,94,2.52,9.2,10.5,16.3,21547,Non-metro,Noncore,Urban population of 2500 to 19999 adjacent to a metro area,39512223,331996199,690
6013,California,Contra Costa County,2250,195.05,102.89,N/A,N/A,N/A,N/A,N/A,suppressed,11,suppressed,0,1608.64,2.86,5.7,9.1,16.27,0.4057,0.53,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,8,127,12.2,5.7,0.8,-0.6,5.2,14.3,14.78,253.64,2.96,8.5,94,2.52,9.2,10.5,16.3,1153526,Metro,Large fringe metro,Counties in metro areas of 1 million population or more,39512223,331996199,766
6015,California,Del Norte County,44,158.21,158.82,N/A,N/A,N/A,N/A,N/A,0,11.3,0.00,0,27.64,2.48,6.3,22.5,18.42,0.9713,0.66,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,1,3,18.2,3.9,-2.7,-6.2,6.7,14.3,14.78,253.64,2.96,8.5,94,2.52,9.2,10.5,16.3,27812,Non-metro,Micropolitan,Urban population of 2500 to 19999 not adjacent to a metro area,39512223,331996199,738
6017,California,El Dorado County,253,131.19,68.67,N/A,N/A,N/A,N/A,N/A,0,12.2,0.00,-100,112.92,2.67,5.2,8.9,21.94,0.1838,0.24,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,1,24,-5.2,7.8,0.9,1.3,7.8,14.3,14.78,253.64,2.96,8.5,94,2.52,9.2,10.5,16.3,192843,Metro,Large fringe metro,Counties in metro areas of 1 million population or more,39512223,331996199,709
6019,California,Fresno County,1822,182.36,67.46,N/A,N/A,N/A,N/A,N/A,suppressed,13.7,suppressed,-80,167.68,3.16,9.5,24.1,12.56,0.9611,0.93,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,9,137,-3.2,9.9,0.7,-0.7,11.1,14.3,14.78,253.64,2.96,8.5,94,2.52,9.2,10.5,16.3,999101,Metro,Medium metro,Counties in metro areas of 250000 to 1 million population,39512223,331996199,718
