County Level Latest Data for Florida
Date generated: Tue Dec 13 2022 18:46:55 GMT-0500 (Eastern Standard Time)
FIPS code,State Name,County,Weekly Cases,Weekly Case rate /100k,% Change in weekly Cases from past week,Test positivity rate - last 7 days,Test positivity rate - absolute change,Total diagnostic tests - last 7 days,Total diagnostic tests per 100k - last 7 days,Total diagnostic tests - % change from previous week,Weekly Deaths,Total admissions of confirmed COVID-19 patients over the past 7 days of reports per 100000 people including both adult and pediatric patients,Weekly Death rate /100k,% Change in weekly Deaths from past week,Population density - county,Average household size - county,Percent uninsured - county,Poverty rate - county,Percent population 65+ yrs - county,SVI,CCVI,Current date,Start date of 7 day window being captured in the case/death metrics,End date of 7 day window being captured in the case/death metrics,Start date of 7 day window being captured in the testing metrics,End date of 7 day window being captured in the testing metrics,Date of hospital data reports included in the latest table for a given county,Total number of hospitals reporting in a county for a particular day,Total admissions of confirmed COVID-19 patients over the past 7 days of reports including both adult and pediatric patients,Week over week percentage change in total COVID-19 admissions,Percentage of staffed adult inpatient beds used by confirmed COVID-19 patients over a trailing 7 day period,Week over week absolute change in percentage of staffed adult inpatient beds used by confirmed COVID-19 patients,Week over week absolute change in percentage of staffed adult ICU beds used by confirmed COVID-19 patients,Percentage of staffed adult ICU beds used by confirmed COVID-19 patients over a trailing 7 day period,Poverty rate - state,Percent population 65+ years - state,Population density - state,Average household size - state,Percent uninsured - state,Population density - US,Average household size - US,Percent uninsured - US,Poverty rate - US,Percent population 65+ years - US,Total county population,Metropolitan status,NCHS urban/rural class,RUCC description,Total state population,Total US population,Health Service Area Number
12001,Florida,Alachua County,161,59.84,37.61,9.88,0.65,1677,618.32,12.63,0,15.9,0.00,-100,307.29,2.54,9.2,21.8,14.6,0.4729,0.65,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,4,43,25.4,3.2,0.9,1.7,5,14.8,20.94,400.52,2.65,13.5,94,2.52,9.2,10.5,16.3,269043,Metro,Medium metro,Counties in metro areas of 250000 to 1 million population,21477737,331996199,159
12003,Florida,Baker County,7,23.96,-12.5,6.74,-4.58,108,365.28,-2.7,0,6.7,0.00,0,49.91,2.92,12.5,14.6,14.09,0.6803,0.74,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,1,2,6.4,2.6,0.6,0.6,3,14.8,20.94,400.52,2.65,13.5,94,2.52,9.2,10.5,16.3,29210,Metro,Large fringe metro,Counties in metro areas of 1 million population or more,21477737,331996199,158
12005,Florida,Bay County,93,53.23,55,3.33,-0.23,1151,671.83,29.62,suppressed,5.8,suppressed,N/A,230.3,2.57,14.2,14.7,18.62,0.6076,0.88,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,3,10,240,1.9,0.5,0.2,1.2,14.8,20.94,400.52,2.65,13.5,94,2.52,9.2,10.5,16.3,174705,Metro,Small metro,Counties in metro areas of fewer than 250000 population,21477737,331996199,155
12007,Florida,Bradford County,11,39.01,83.33,5.33,2.16,278,972.27,13.01,0,15.9,0.00,-100,95.93,2.6,12.4,20.3,17.96,0.9264,0.97,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,0,4,25.4,3.2,0.9,1.7,5,14.8,20.94,400.52,2.65,13.5,94,2.52,9.2,10.5,16.3,28201,Non-metro,Noncore,Urban population of 2500 to 19999 adjacent to a metro area,21477737,331996199,159
12009,Florida,Brevard County,364,60.47,47.97,9.68,0.04,2957,485.98,-2.95,suppressed,3.9,suppressed,-12.5,593.06,2.49,10.8,12.7,24.21,0.3713,0.79,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,8,24,-25,1.6,-0.4,0.4,2.2,14.8,20.94,400.52,2.65,13.5,94,2.52,9.2,10.5,16.3,601942,Metro,Medium metro,Counties in metro areas of 250000 to 1 million population,21477737,331996199,237
12011,Florida,Broward County,1830,93.71,36.26,18.12,2.15,11701,597.57,18.49,suppressed,8.4,suppressed,-50,1623.5,2.77,14.6,13.5,17.13,0.5844,0.84,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,15,165,2.6,2.7,0.3,0.2,3.1,14.8,20.94,400.52,2.65,13.5,94,2.52,9.2,10.5,16.3,1952778,Metro,Large fringe metro,Counties in metro areas of 1 million population or more,21477737,331996199,200
12013,Florida,Calhoun County,5,35.45,-16.67,11.94,7.59,74,525.64,7.25,suppressed,5.8,suppressed,0,24.86,2.73,18.3,12.2,18.93,0.8401,0.89,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,1,1,240,1.9,0.5,0.2,1.2,14.8,20.94,400.52,2.65,13.5,94,2.52,9.2,10.5,16.3,14105,Non-metro,Noncore,Urban population of 2500 to 19999 adjacent to a metro area,21477737,331996199,155
12015,Florida,Charlotte County,108,57.17,20,10.05,1.25,756,388.27,11.01,suppressed,13.2,suppressed,-70,277.36,2.28,11.3,11.1,40.8,0.4889,0.76,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,2,25,2.4,3.6,0.1,1.7,4.6,14.8,20.94,400.52,2.65,13.5,94,2.52,9.2,10.5,16.3,188910,Metro,Small metro,Counties in metro areas of fewer than 250000 population,21477737,331996199,213
12017,Florida,Citrus County,90,60.14,32.35,11.82,1.48,768,501.93,8.32,suppressed,7.8,suppressed,-80,257.18,2.24,10.4,16.7,36.71,0.6022,0.82,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,2,12,-9.1,3.1,-0.6,-2.5,2.4,14.8,20.94,400.52,2.65,13.5,94,2.52,9.2,10.5,16.3,149657,Metro,Small metro,Counties in metro areas of fewer than 250000 population,21477737,331996199,233
12019,Florida,Clay County,122,55.64,69.44,10.13,0.56,1856,836.9,-4.33,0,6.7,0.00,-100,362.63,2.81,10.4,10.6,16.35,0.3803,0.74,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,3,15,6.4,2.6,0.6,0.6,3,14.8,20.94,400.52,2.65,13.5,94,2.52,9.2,10.5,16.3,219252,Metro,Large fringe metro,Counties in metro areas of 1 million population or more,21477737,331996199,158
12021,Florida,Collier County,259,67.29,50.58,14.02,0,562,143.01,8.91,suppressed,10.2,suppressed,0,192.75,2.55,16.5,12.3,32.92,0.4618,0.78,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,2,39,21.8,3.6,0.3,0,2.7,14.8,20.94,400.52,2.65,13.5,94,2.52,9.2,10.5,16.3,384902,Metro,Medium metro,Counties in metro areas of 250000 to 1 million population,21477737,331996199,165
12023,Florida,Columbia County,39,54.40,34.48,7.85,2.38,494,679.94,3.35,suppressed,15.9,suppressed,-33.33,89.88,2.57,12.4,17.4,19.26,0.8596,0.97,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,1,11,25.4,3.2,0.9,1.7,5,14.8,20.94,400.52,2.65,13.5,94,2.52,9.2,10.5,16.3,71686,Non-metro,Micropolitan,Urban population of 20000 or more adjacent to a metro area,21477737,331996199,159
12027,Florida,DeSoto County,22,57.89,144.44,8.62,1.61,229,594.5,8.02,0,13.2,0.00,-100,59.68,2.74,18.4,28.5,22.52,0.9618,0.97,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,1,5,2.4,3.6,0.1,1.7,4.6,14.8,20.94,400.52,2.65,13.5,94,2.52,9.2,10.5,16.3,38001,Non-metro,Micropolitan,Urban population of 2500 to 19999 adjacent to a metro area,21477737,331996199,213
12029,Florida,Dixie County,4,23.77,100,5.1,0.8,97,568.68,-2.02,0,15.9,0.00,0,23.86,2.28,17.2,23.1,23.68,0.8994,0.88,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,0,3,25.4,3.2,0.9,1.7,5,14.8,20.94,400.52,2.65,13.5,94,2.52,9.2,10.5,16.3,16826,Non-metro,Noncore,Urban population of 2500 to 19999 adjacent to a metro area,21477737,331996199,159
