County Level Latest Data for Maryland
Date generated: Tue Dec 13 2022 17:35:38 GMT-0500 (Eastern Standard Time)
FIPS code,State Name,County,Weekly Cases,Weekly Case rate /100k,% Change in weekly Cases from past week,Test positivity rate - last 7 days,Test positivity rate - absolute change,Total diagnostic tests - last 7 days,Total diagnostic tests per 100k - last 7 days,Total diagnostic tests - % change from previous week,Weekly Deaths,Total admissions of confirmed COVID-19 patients over the past 7 days of reports per 100000 people including both adult and pediatric patients,Weekly Death rate /100k,% Change in weekly Deaths from past week,Population density - county,Average household size - county,Percent uninsured - county,Poverty rate - county,Percent population 65+ yrs - county,SVI,CCVI,Current date,Start date of 7 day window being captured in the case/death metrics,End date of 7 day window being captured in the case/death metrics,Start date of 7 day window being captured in the testing metrics,End date of 7 day window being captured in the testing metrics,Date of hospital data reports included in the latest table for a given county,Total number of hospitals reporting in a county for a particular day,Total admissions of confirmed COVID-19 patients over the past 7 days of reports including both adult and pediatric patients,Week over week percentage change in total COVID-19 admissions,Percentage of staffed adult inpatient beds used by confirmed COVID-19 patients over a trailing 7 day period,Week over week absolute change in percentage of staffed adult inpatient beds used by confirmed COVID-19 patients,Week over week absolute change in percentage of staffed adult ICU beds used by confirmed COVID-19 patients,Percentage of staffed adult ICU beds used by confirmed COVID-19 patients over a trailing 7 day period,Poverty rate - state,Percent population 65+ years - state,Population density - state,Average household size - state,Percent uninsured - state,Population density - US,Average household size - US,Percent uninsured - US,Poverty rate - US,Percent population 65+ years - US,Total county population,Metropolitan status,NCHS urban/rural class,RUCC description,Total state population,Total US population,Health Service Area Number
24001,Maryland,Allegany County,74,105.09,21.31,5.81,-1.56,1314,1875.62,256.1,suppressed,9.2,suppressed,N/A,166.79,2.3,4.8,16.4,20.55,0.621,0.33,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,1,7,16.7,3.9,-2,-1.5,0.4,9.4,15.87,622.82,2.67,6.5,94,2.52,9.2,10.5,16.3,70416,Metro,Small metro,Counties in metro areas of fewer than 250000 population,6045680,331996199,1
24003,Maryland,Anne Arundel County,541,93.40,68.01,12.64,1.56,4419,758.27,152.8,suppressed,11.5,suppressed,0,1396.38,2.65,4.7,6,15.02,0.1783,0.18,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,2,67,10.4,4.8,0.2,0,3.9,9.4,15.87,622.82,2.67,6.5,94,2.52,9.2,10.5,16.3,579234,Metro,Large fringe metro,Counties in metro areas of 1 million population or more,6045680,331996199,16
24510,Maryland,Baltimore City,781,131.59,43.04,8.34,-0.76,9347,1594.69,210.22,suppressed,11.5,suppressed,-50,7331.86,2.48,7.2,21.8,14.52,0.8312,0.82,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,15,68,10.4,4.8,0.2,0,3.9,9.4,15.87,622.82,2.67,6.5,94,2.52,9.2,10.5,16.3,593490,Metro,Large central metro,Counties in metro areas of 1 million population or more,6045680,331996199,16
24005,Maryland,Baltimore County,744,89.92,57.29,10.52,0.71,8144,985.94,170.65,13,11.5,1.57,18.18,1382.73,2.58,5.6,9.2,17.56,0.3818,0.36,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,4,95,10.4,4.8,0.2,0,3.9,9.4,15.87,622.82,2.67,6.5,94,2.52,9.2,10.5,16.3,827370,Metro,Large fringe metro,Counties in metro areas of 1 million population or more,6045680,331996199,16
24009,Maryland,Calvert County,69,74.57,46.81,9.29,-1.42,612,657.56,245.76,suppressed,11.5,suppressed,N/A,434,2.85,4.2,5.1,15.48,0.0471,0.12,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,1,11,10.4,4.8,0.2,0,3.9,9.4,15.87,622.82,2.67,6.5,94,2.52,9.2,10.5,16.3,92525,Metro,Large fringe metro,Counties in metro areas of 1 million population or more,6045680,331996199,16
24011,Maryland,Caroline County,23,68.85,53.33,8.59,2.55,342,1021.14,147.83,0,0.7,0.00,0,104.58,2.68,6.4,14.7,16.69,0.5535,0.51,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,0,0,-75,11.5,2.8,-16.1,8,9.4,15.87,622.82,2.67,6.5,94,2.52,9.2,10.5,16.3,33406,Non-metro,Noncore,Urban population of 2500 to 19999 adjacent to a metro area,6045680,331996199,107
24013,Maryland,Carroll County,92,54.62,27.78,12,3.37,1060,626.88,161.73,suppressed,11.5,suppressed,-50,376.31,2.71,3,5.3,17.28,0.0404,0.13,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,1,19,10.4,4.8,0.2,0,3.9,9.4,15.87,622.82,2.67,6.5,94,2.52,9.2,10.5,16.3,168447,Metro,Large fringe metro,Counties in metro areas of 1 million population or more,6045680,331996199,16
24015,Maryland,Cecil County,65,63.20,-20.73,9.07,1.4,860,831.57,179.22,0,6.7,0.00,0,297.01,2.74,4.5,9.4,16.21,0.2933,0.21,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,1,7,8.9,4.2,0,0.2,3.5,9.4,15.87,622.82,2.67,6.5,94,2.52,9.2,10.5,16.3,102855,Metro,Large fringe metro,Counties in metro areas of 1 million population or more,6045680,331996199,75
24017,Maryland,Charles County,210,128.63,77.97,14.6,0.23,1530,930.45,190.87,0,9.7,0.00,-100,356.61,2.78,3.6,6.1,12.87,0.1723,0.22,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,1,16,7.1,5.9,0.6,0.4,5.8,9.4,15.87,622.82,2.67,6.5,94,2.52,9.2,10.5,16.3,163257,Metro,Large fringe metro,Counties in metro areas of 1 million population or more,6045680,331996199,61
24019,Maryland,Dorchester County,41,128.41,105,12.31,3.34,408,1280.88,191.43,0,0.7,0.00,0,59.04,2.39,5.5,15.8,22.12,0.7506,0.75,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,0,0,-75,11.5,2.8,-16.1,8,9.4,15.87,622.82,2.67,6.5,94,2.52,9.2,10.5,16.3,31929,Non-metro,Micropolitan,Urban population of 2500 to 19999 adjacent to a metro area,6045680,331996199,107
24021,Maryland,Frederick County,233,89.77,54.3,10.35,2.15,2345,884.37,223,suppressed,6.7,suppressed,-33.33,392.94,2.67,4.8,7.1,14.82,0.1589,0.17,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,1,17,28.6,5.5,0.7,2.7,5.4,9.4,15.87,622.82,2.67,6.5,94,2.52,9.2,10.5,16.3,259547,Metro,Large fringe metro,Counties in metro areas of 1 million population or more,6045680,331996199,48
24023,Maryland,Garrett County,21,72.38,10.53,5.85,-0.9,411,1424.51,328.13,0,9.2,0.00,-100,44.7,2.38,7.3,9.7,23.14,0.1812,0.13,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,1,3,16.7,3.9,-2,-1.5,0.4,9.4,15.87,622.82,2.67,6.5,94,2.52,9.2,10.5,16.3,29014,Non-metro,Noncore,Urban population of 2500 to 19999 adjacent to a metro area,6045680,331996199,1
