County Level Latest Data for New York
Date generated: Tue Dec 13 2022 18:48:06 GMT-0500 (Eastern Standard Time)
FIPS code,State Name,County,Weekly Cases,Weekly Case rate /100k,% Change in weekly Cases from past week,Test positivity rate - last 7 days,Test positivity rate - absolute change,Total diagnostic tests - last 7 days,Total diagnostic tests per 100k - last 7 days,Total diagnostic tests - % change from previous week,Weekly Deaths,Total admissions of confirmed COVID-19 patients over the past 7 days of reports per 100000 people including both adult and pediatric patients,Weekly Death rate /100k,% Change in weekly Deaths from past week,Population density - county,Average household size - county,Percent uninsured - county,Poverty rate - county,Percent population 65+ yrs - county,SVI,CCVI,Current date,Start date of 7 day window being captured in the case/death metrics,End date of 7 day window being captured in the case/death metrics,Start date of 7 day window being captured in the testing metrics,End date of 7 day window being captured in the testing metrics,Date of hospital data reports included in the latest table for a given county,Total number of hospitals reporting in a county for a particular day,Total admissions of confirmed COVID-19 patients over the past 7 days of reports including both adult and pediatric patients,Week over week percentage change in total COVID-19 admissions,Percentage of staffed adult inpatient beds used by confirmed COVID-19 patients over a trailing 7 day period,Week over week absolute change in percentage of staffed adult inpatient beds used by confirmed COVID-19 patients,Week over week absolute change in percentage of staffed adult ICU beds used by confirmed COVID-19 patients,Percentage of staffed adult ICU beds used by confirmed COVID-19 patients over a trailing 7 day period,Poverty rate - state,Percent population 65+ years - state,Population density - state,Average household size - state,Percent uninsured - state,Population density - US,Average household size - US,Percent uninsured - US,Poverty rate - US,Percent population 65+ years - US,Total county population,Metropolitan status,NCHS urban/rural class,RUCC description,Total state population,Total US population,Health Service Area Number
36001,New York,Albany County,274,89.69,30.48,8.73,-1.05,3099,1020.57,4.91,0,17.6,0.00,-100,584.33,2.3,4,12,17.44,0.3041,0.54,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,3,54,29.4,5.4,0.3,5.5,11,14.6,16.94,412.8,2.6,6.5,94,2.52,9.2,10.5,16.3,305506,Metro,Medium metro,Counties in metro areas of 250000 to 1 million population,19453561,331996199,10
36003,New York,Allegany County,24,52.07,-25,7.05,1.57,507,1112.16,0,0,9.8,0.00,0,44.78,2.34,6.9,17,19.65,0.5818,0.56,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,2,5,125,4.4,1.1,1.8,3.2,14.6,16.94,412.8,2.6,6.5,94,2.52,9.2,10.5,16.3,46091,Non-metro,Noncore,Urban population of 2500 to 19999 not adjacent to a metro area,19453561,331996199,35
36005,New York,Bronx County,4965,350.09,54.24,13.31,-0.48,30259,2159.6,16.6,26,14.1,1.83,44.44,33726.51,2.79,9.7,29.1,13.31,0.9927,0.95,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,7,200,-8.9,7.8,0.4,-0.1,7,14.6,16.94,412.8,2.6,6.5,94,2.52,9.2,10.5,16.3,1418207,Metro,Large central metro,Counties in metro areas of 1 million population or more,19453561,331996199,94
36007,New York,Broome County,259,135.97,77.4,8.29,-0.4,3537,1867.28,9.3,0,18.2,0.00,0,269.88,2.34,4.2,17,19.41,0.6166,0.71,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,2,35,-28.4,7.8,1.7,2.8,6.5,14.6,16.94,412.8,2.6,6.5,94,2.52,9.2,10.5,16.3,190488,Metro,Small metro,Counties in metro areas of 250000 to 1 million population,19453561,331996199,19
36009,New York,Cattaraugus County,32,42.04,10.34,5.69,0.13,591,779.04,-1.01,0,9.8,0.00,-100,58.18,2.39,7,16.5,19.74,0.7283,0.71,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,1,7,125,4.4,1.1,1.8,3.2,14.6,16.94,412.8,2.6,6.5,94,2.52,9.2,10.5,16.3,76117,Non-metro,Micropolitan,Urban population of 20000 or more adjacent to a metro area,19453561,331996199,35
36011,New York,Cayuga County,52,67.91,23.81,4.86,-0.89,1754,2307.01,22.74,0,8.9,0.00,-100,110.73,2.35,5.4,11.7,19.84,0.5025,0.73,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,1,7,34.9,4.3,0.1,0.2,4,14.6,16.94,412.8,2.6,6.5,94,2.52,9.2,10.5,16.3,76576,Non-metro,Micropolitan,Urban population of 20000 or more adjacent to a metro area,19453561,331996199,56
36013,New York,Chautauqua County,55,43.34,10,7.29,1.83,1115,884.7,-4.29,suppressed,8,suppressed,N/A,119.69,2.35,5.5,18.7,20.71,0.7248,0.74,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,3,10,-2.8,3.9,0.6,3.4,7.9,14.6,16.94,412.8,2.6,6.5,94,2.52,9.2,10.5,16.3,126903,Non-metro,Micropolitan,Urban population of 20000 or more adjacent to a metro area,19453561,331996199,106
36015,New York,Chemung County,117,140.19,32.95,9.02,-0.74,1643,1988.57,10.86,suppressed,13.7,suppressed,100,204.87,2.36,4.6,14.8,19.51,0.485,0.6,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,1,11,-25,6.9,0.1,1.5,5.6,14.6,16.94,412.8,2.6,6.5,94,2.52,9.2,10.5,16.3,83456,Metro,Small metro,Counties in metro areas of fewer than 250000 population,19453561,331996199,65
36017,New York,Chenango County,56,118.63,24.44,8.55,-0.43,625,1337.47,10.23,suppressed,4.9,suppressed,200,52.83,2.31,4.7,14.3,20.87,0.5646,0.63,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,1,2,-57.1,4.1,-0.9,3.6,11.2,14.6,16.94,412.8,2.6,6.5,94,2.52,9.2,10.5,16.3,47207,Non-metro,Noncore,Urban population of 2500 to 19999 adjacent to a metro area,19453561,331996199,58
36019,New York,Clinton County,122,151.58,96.77,9.89,-6.31,1017,1274.79,39.12,0,7.2,0.00,-100,77.56,2.33,4.4,15.3,17.67,0.5312,0.6,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,1,6,-7.7,11.2,1.2,1.9,4,14.6,16.94,412.8,2.6,6.5,94,2.52,9.2,10.5,16.3,80485,Non-metro,Micropolitan,Urban population of 20000 or more not adjacent to a metro area,19453561,331996199,81
36021,New York,Columbia County,50,84.09,61.29,16.84,2.18,355,596.3,16.39,0,5.2,0.00,-100,93.69,2.31,4.7,11.9,24.39,0.3854,0.49,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,1,3,-45.5,2.7,-0.7,1.4,3.8,14.6,16.94,412.8,2.6,6.5,94,2.52,9.2,10.5,16.3,59461,Non-metro,Micropolitan,Urban population of 2500 to 19999 adjacent to a metro area,19453561,331996199,112
36023,New York,Cortland County,51,107.19,200,5.03,-1.24,948,2009.62,31.3,0,6.7,0.00,0,95.4,2.52,4.3,15.5,16.89,0.3452,0.39,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,1,3,-16.7,6.4,0.5,0.6,0.6,14.6,16.94,412.8,2.6,6.5,94,2.52,9.2,10.5,16.3,47581,Non-metro,Micropolitan,Urban population of 20000 or more adjacent to a metro area,19453561,331996199,105
36025,New York,Delaware County,31,70.24,24,5.03,-0.31,601,1367.84,22.4,0,4.9,0.00,0,30.6,2.27,6,16.2,25.19,0.6331,0.61,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,2,2,-57.1,4.1,-0.9,3.6,11.2,14.6,16.94,412.8,2.6,6.5,94,2.52,9.2,10.5,16.3,44135,Non-metro,Noncore,Urban population of 2500 to 19999 adjacent to a metro area,19453561,331996199,58
36027,New York,Dutchess County,498,169.26,35.33,14.24,-0.66,4937,1683.3,25.4,suppressed,17.9,suppressed,100,369.78,2.57,5,9.1,18.15,0.4207,0.58,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,2,53,17.9,7.3,0.4,0.8,9.1,14.6,16.94,412.8,2.6,6.5,94,2.52,9.2,10.5,16.3,294218,Metro,Large fringe metro,Counties in metro areas of 1 million population or more,19453561,331996199,41
36029,New York,Erie County,676,73.58,24.26,12.75,2.33,7612,829.88,9.84,suppressed,10.6,suppressed,0,881.06,2.3,3.7,14.5,18.39,0.414,0.62,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,7,98,-9.5,6,-0.2,0.7,3.4,14.6,16.94,412.8,2.6,6.5,94,2.52,9.2,10.5,16.3,918702,Metro,Large central metro,Counties in metro areas of 1 million population or more,19453561,331996199,54
36031,New York,Essex County,23,62.36,64.29,6.68,1.31,443,1200.83,24.09,0,7.2,0.00,0,20.56,2.26,3.9,9.5,24.26,0.3869,0.43,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,1,3,-7.7,11.2,1.2,1.9,4,14.6,16.94,412.8,2.6,6.5,94,2.52,9.2,10.5,16.3,36885,Non-metro,Noncore,Urban population of 2500 to 19999 adjacent to a metro area,19453561,331996199,81
36033,New York,Franklin County,25,49.98,-13.79,4.25,-1.9,635,1270.89,20.49,suppressed,7.2,suppressed,N/A,30.7,2.35,6.5,18.2,17.44,0.7073,0.5,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,1,4,-7.7,11.2,1.2,1.9,4,14.6,16.94,412.8,2.6,6.5,94,2.52,9.2,10.5,16.3,50022,Non-metro,Micropolitan,Urban population of 2500 to 19999 not adjacent to a metro area,19453561,331996199,81
36035,New York,Fulton County,70,131.13,48.94,8.7,-0.27,846,1601.91,31.57,0,7.8,0.00,0,107.74,2.34,6.3,15.5,20.14,0.501,0.67,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,1,4,300,3.1,0.3,0,0,14.6,16.94,412.8,2.6,6.5,94,2.52,9.2,10.5,16.3,53383,Non-metro,Micropolitan,Urban population of 20000 or more adjacent to a metro area,19453561,331996199,76
36037,New York,Genesee County,39,68.09,18.18,8.46,1.73,794,1393.13,6.29,suppressed,10.6,suppressed,0,116.2,2.42,4.1,11.4,19.29,0.1879,0.43,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,1,6,-9.5,6,-0.2,0.7,3.4,14.6,16.94,412.8,2.6,6.5,94,2.52,9.2,10.5,16.3,57280,Non-metro,Micropolitan,Urban population of 20000 or more adjacent to a metro area,19453561,331996199,54
36039,New York,Greene County,46,97.48,53.33,14.95,-1.46,344,729.17,38.15,suppressed,5.2,suppressed,N/A,72.92,2.59,5.5,13.3,22.73,0.4159,0.61,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,0,2,-45.5,2.7,-0.7,1.4,3.8,14.6,16.94,412.8,2.6,6.5,94,2.52,9.2,10.5,16.3,47188,Non-metro,Noncore,Urban population of 2500 to 19999 adjacent to a metro area,19453561,331996199,112
36041,New York,Hamilton County,6,135.87,500,0,-6.45,52,1196.78,67.74,0,8.7,0.00,0,2.57,3.95,6.8,6.9,31.86,0.3898,0.3,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,0,0,15.4,3.1,-0.2,2.6,7.7,14.6,16.94,412.8,2.6,6.5,94,2.52,9.2,10.5,16.3,4416,Non-metro,Noncore,Completely rural or less than 2500 urban population adjacent to a metro area,19453561,331996199,88
36043,New York,Herkimer County,51,83.17,104,3.15,-1.63,820,1345.48,22.57,0,10.8,0.00,-100,43.44,2.49,5.9,14.6,21.23,0.5322,0.57,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,1,7,143.8,4.1,2.1,1.5,2.3,14.6,16.94,412.8,2.6,6.5,94,2.52,9.2,10.5,16.3,61319,Metro,Medium metro,Counties in metro areas of 250000 to 1 million population,19453561,331996199,59
36045,New York,Jefferson County,117,106.52,64.79,5.24,-0.65,1492,1380.27,24.02,suppressed,4.5,suppressed,-50,86.57,2.5,6,14.2,14.21,0.6484,0.55,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,3,5,-21.4,2.3,0.5,0,0,14.6,16.94,412.8,2.6,6.5,94,2.52,9.2,10.5,16.3,109834,Metro,Small metro,Counties in metro areas of fewer than 250000 population,19453561,331996199,80
36047,New York,Kings County,7748,302.67,36.58,10.88,0.75,66996,2638.75,-14.58,42,14.1,1.64,2.44,36901.37,2.69,8.2,21.1,14.37,0.8153,0.86,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,9,361,-8.9,7.8,0.4,-0.1,7,14.6,16.94,412.8,2.6,6.5,94,2.52,9.2,10.5,16.3,2559903,Metro,Large central metro,Counties in metro areas of 1 million population or more,19453561,331996199,94
