County Level Latest Data for Texas
Date generated: Tue Dec 13 2022 18:42:18 GMT-0500 (Eastern Standard Time)
FIPS code,State Name,County,Weekly Cases,Weekly Case rate /100k,% Change in weekly Cases from past week,Test positivity rate - last 7 days,Test positivity rate - absolute change,Total diagnostic tests - last 7 days,Total diagnostic tests per 100k - last 7 days,Total diagnostic tests - % change from previous week,Weekly Deaths,Total admissions of confirmed COVID-19 patients over the past 7 days of reports per 100000 people including both adult and pediatric patients,Weekly Death rate /100k,% Change in weekly Deaths from past week,Population density - county,Average household size - county,Percent uninsured - county,Poverty rate - county,Percent population 65+ yrs - county,SVI,CCVI,Current date,Start date of 7 day window being captured in the case/death metrics,End date of 7 day window being captured in the case/death metrics,Start date of 7 day window being captured in the testing metrics,End date of 7 day window being captured in the testing metrics,Date of hospital data reports included in the latest table for a given county,Total number of hospitals reporting in a county for a particular day,Total admissions of confirmed COVID-19 patients over the past 7 days of reports including both adult and pediatric patients,Week over week percentage change in total COVID-19 admissions,Percentage of staffed adult inpatient beds used by confirmed COVID-19 patients over a trailing 7 day period,Week over week absolute change in percentage of staffed adult inpatient beds used by confirmed COVID-19 patients,Week over week absolute change in percentage of staffed adult ICU beds used by confirmed COVID-19 patients,Percentage of staffed adult ICU beds used by confirmed COVID-19 patients over a trailing 7 day period,Poverty rate - state,Percent population 65+ years - state,Population density - state,Average household size - state,Percent uninsured - state,Population density - US,Average household size - US,Percent uninsured - US,Poverty rate - US,Percent population 65+ years - US,Total county population,Metropolitan status,NCHS urban/rural class,RUCC description,Total state population,Total US population,Health Service Area Number
48001,Texas,Anderson County,19,32.91,-9.52,11.11,0.47,251,434.22,11.56,0,6.7,0.00,0,54.33,2.69,14.1,14.8,15,0.7946,0.87,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,1,4,-40,1.9,-0.9,0,0,15.5,12.88,111,2.86,17.4,94,2.52,9.2,10.5,16.3,57735,Non-metro,Micropolitan,Urban population of 2500 to 19999 not adjacent to a metro area,28995881,331996199,509
48003,Texas,Andrews County,43,229.89,152.94,28.57,-28.57,23,121.83,76.92,0,0,0.00,0,12.46,3.22,18.2,10.4,9.8,0.4736,0.58,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,1,0,-100,0.9,0.7,0,0,15.5,12.88,111,2.86,17.4,94,2.52,9.2,10.5,16.3,18705,Non-metro,Micropolitan,Urban population of 2500 to 19999 adjacent to a metro area,28995881,331996199,508
48005,Texas,Angelina County,14,16.14,-30,8.33,-0.16,130,149.78,64.56,suppressed,5.3,suppressed,N/A,108.69,2.75,19.2,18.3,16.63,0.9771,0.96,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,3,5,-14.3,2.7,-1.1,-1.7,2.2,15.5,12.88,111,2.86,17.4,94,2.52,9.2,10.5,16.3,86715,Non-metro,Micropolitan,Urban population of 20000 or more not adjacent to a metro area,28995881,331996199,449
48007,Texas,Aransas County,16,68.06,-11.11,12.5,-2.31,66,277.15,26.92,0,10.5,0.00,0,93.27,2.58,20.5,20.3,28.89,0.8019,0.91,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,0,2,-3.3,5.3,0.1,3.2,10.8,15.5,12.88,111,2.86,17.4,94,2.52,9.2,10.5,16.3,23510,Metro,Medium metro,Counties in metro areas of 250000 to 1 million population,28995881,331996199,437
48009,Texas,Archer County,5,58.46,66.67,19.05,6.55,25,286.37,8.7,0,5.1,0.00,0,9.47,2.61,11.4,9.3,19.61,0.0898,0.19,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,0,0,-52.4,2,-0.3,1.6,5.3,15.5,12.88,111,2.86,17.4,94,2.52,9.2,10.5,16.3,8553,Metro,Small metro,Counties in metro areas of fewer than 250000 population,28995881,331996199,420
48011,Texas,Armstrong County,4,211.98,300,4,-26.77,21,1123.6,133.33,0,10,0.00,0,2.08,2.62,7.6,7.3,24.91,0.1599,0.24,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,0,0,66.7,4.4,0.6,0.6,7.7,15.5,12.88,111,2.86,17.4,94,2.52,9.2,10.5,16.3,1887,Metro,Medium metro,Counties in metro areas of 250000 to 1 million population,28995881,331996199,405
48013,Texas,Atascosa County,27,52.78,35,16.94,8.34,116,224.27,146.81,0,7.2,0.00,0,41.94,3.15,15.8,15,14.87,0.8497,0.9,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,1,4,25.4,2.2,0.6,1,3.2,15.5,12.88,111,2.86,17.4,94,2.52,9.2,10.5,16.3,51153,Metro,Large fringe metro,Counties in metro areas of 1 million population or more,28995881,331996199,410
48015,Texas,Austin County,17,56.61,70,20.83,9.81,139,463.77,85.33,0,9.8,0.00,-100,46.45,2.65,12.1,10.8,19.76,0.4936,0.83,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,1,3,13.5,4.2,0.3,-0.2,4.7,15.5,12.88,111,2.86,17.4,94,2.52,9.2,10.5,16.3,30032,Metro,Large fringe metro,Counties in metro areas of 1 million population or more,28995881,331996199,408
48017,Texas,Bailey County,3,42.86,-50,10,0.91,19,283.71,111.11,0,13.5,0.00,0,8.46,3.27,20.6,14.5,14.8,0.8003,0.65,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,1,1,43.2,2.3,0.5,1.1,3,15.5,12.88,111,2.86,17.4,94,2.52,9.2,10.5,16.3,7000,Non-metro,Noncore,Urban population of 2500 to 19999 not adjacent to a metro area,28995881,331996199,406
48019,Texas,Bandera County,14,60.57,55.56,13.79,-1.14,71,297.56,29.09,0,7.2,0.00,0,29.22,2.58,17.7,15,27.86,0.5076,0.51,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,0,2,25.4,2.2,0.6,1,3.2,15.5,12.88,111,2.86,17.4,94,2.52,9.2,10.5,16.3,23112,Metro,Large fringe metro,Counties in metro areas of 1 million population or more,28995881,331996199,410
