County Level Latest Data for Virginia
Date generated: Tue Dec 13 2022 18:04:42 GMT-0500 (Eastern Standard Time)
FIPS code,State Name,County,Weekly Cases,Weekly Case rate /100k,% Change in weekly Cases from past week,Test positivity rate - last 7 days,Test positivity rate - absolute change,Total diagnostic tests - last 7 days,Total diagnostic tests per 100k - last 7 days,Total diagnostic tests - % change from previous week,Weekly Deaths,Total admissions of confirmed COVID-19 patients over the past 7 days of reports per 100000 people including both adult and pediatric patients,Weekly Death rate /100k,% Change in weekly Deaths from past week,Population density - county,Average household size - county,Percent uninsured - county,Poverty rate - county,Percent population 65+ yrs - county,SVI,CCVI,Current date,Start date of 7 day window being captured in the case/death metrics,End date of 7 day window being captured in the case/death metrics,Start date of 7 day window being captured in the testing metrics,End date of 7 day window being captured in the testing metrics,Date of hospital data reports included in the latest table for a given county,Total number of hospitals reporting in a county for a particular day,Total admissions of confirmed COVID-19 patients over the past 7 days of reports including both adult and pediatric patients,Week over week percentage change in total COVID-19 admissions,Percentage of staffed adult inpatient beds used by confirmed COVID-19 patients over a trailing 7 day period,Week over week absolute change in percentage of staffed adult inpatient beds used by confirmed COVID-19 patients,Week over week absolute change in percentage of staffed adult ICU beds used by confirmed COVID-19 patients,Percentage of staffed adult ICU beds used by confirmed COVID-19 patients over a trailing 7 day period,Poverty rate - state,Percent population 65+ years - state,Population density - state,Average household size - state,Percent uninsured - state,Population density - US,Average household size - US,Percent uninsured - US,Poverty rate - US,Percent population 65+ years - US,Total county population,Metropolitan status,NCHS urban/rural class,RUCC description,Total state population,Total US population,Health Service Area Number
51001,Virginia,Accomack County,31,95.93,-20.51,14.69,8.81,216,670.02,61.19,0,2.3,0.00,0,71.92,2.36,16.8,19.9,24.55,0.8025,0.92,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,0,1,0,4.3,0,17.1,20,10.9,15.92,216.14,2.61,9.2,94,2.52,9.2,10.5,16.3,32316,Non-metro,Noncore,Completely rural or less than 2500 urban population adjacent to a metro area,8535519,331996199,137
51003,Virginia,Albemarle County,116,106.10,3.57,8.69,-0.95,1016,918.19,48.54,suppressed,6.8,suppressed,N/A,151.75,2.43,7.3,9.8,19.35,0.1732,0.4,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,1,7,18.2,3,0.2,0.7,3.5,10.9,15.92,216.14,2.61,9.2,94,2.52,9.2,10.5,16.3,109330,Metro,Small metro,Counties in metro areas of fewer than 250000 population,8535519,331996199,99
51510,Virginia,Alexandria City,230,144.27,35.29,16.32,3.55,1726,1087.41,35.48,suppressed,5,suppressed,N/A,10675.37,2.21,12.4,10.6,12.17,0.2003,0.59,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,0,8,-34,5.4,0.2,2,4.1,10.9,15.92,216.14,2.61,9.2,94,2.52,9.2,10.5,16.3,159428,Metro,Large central metro,Counties in metro areas of 1 million population or more,8535519,331996199,69
51005,Virginia,Alleghany County,21,141.32,162.5,11.11,-5.28,50,340.11,16.28,0,4.1,0.00,0,33.28,2.22,7,20.2,25.47,0.4462,0.43,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,1,1,-57.1,1.6,-0.5,1.9,1.9,10.9,15.92,216.14,2.61,9.2,94,2.52,9.2,10.5,16.3,14860,Non-metro,Noncore,Urban population of 2500 to 19999 adjacent to a metro area,8535519,331996199,30
51007,Virginia,Amelia County,9,68.47,-10,18.52,6.02,33,253.57,3.13,0,10.6,0.00,-100,36.99,2.66,11.2,13.4,20.06,0.3166,0.63,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,0,1,0.7,3.2,0.1,-1.4,5,10.9,15.92,216.14,2.61,9.2,94,2.52,9.2,10.5,16.3,13145,Metro,Large fringe metro,Counties in metro areas of 1 million population or more,8535519,331996199,33
51009,Virginia,Amherst County,32,101.25,0,16.85,4.55,183,577.89,30.71,0,13.5,0.00,0,66.68,2.56,10.3,13.9,21.6,0.4682,0.51,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,0,4,29,4.7,0.6,-0.5,6.3,10.9,15.92,216.14,2.61,9.2,94,2.52,9.2,10.5,16.3,31605,Metro,Medium metro,Counties in metro areas of 250000 to 1 million population,8535519,331996199,14
51011,Virginia,Appomattox County,18,113.13,-53.85,25,0,66,411.39,-2.94,0,13.5,0.00,0,47.61,2.54,8.2,13.5,21.16,0.3637,0.39,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,0,2,29,4.7,0.6,-0.5,6.3,10.9,15.92,216.14,2.61,9.2,94,2.52,9.2,10.5,16.3,15911,Metro,Medium metro,Counties in metro areas of 250000 to 1 million population,8535519,331996199,14
51013,Virginia,Arlington County,365,154.11,22.9,14.01,2.49,2992,1246.05,42.07,suppressed,5,suppressed,200,9110.21,2.18,6.6,7.2,11.1,0.1401,0.36,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,1,12,-34,5.4,0.2,2,4.1,10.9,15.92,216.14,2.61,9.2,94,2.52,9.2,10.5,16.3,236842,Metro,Large central metro,Counties in metro areas of 1 million population or more,8535519,331996199,69
51015,Virginia,Augusta County,82,108.53,28.13,20.76,4.53,935,1221.52,7.47,0,6.8,0.00,0,78.13,2.42,8.9,9.2,21.89,0.149,0.28,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,1,5,0,1.9,-1.4,0,0,10.9,15.92,216.14,2.61,9.2,94,2.52,9.2,10.5,16.3,75558,Metro,Small metro,Counties in metro areas of fewer than 250000 population,8535519,331996199,97
51017,Virginia,Bath County,2,48.23,N/A,9.68,1.68,30,728.33,200,0,4.1,0.00,0,7.84,2.11,15.3,11.3,28,0.2471,0.42,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,1,0,-57.1,1.6,-0.5,1.9,1.9,10.9,15.92,216.14,2.61,9.2,94,2.52,9.2,10.5,16.3,4147,Non-metro,Noncore,Completely rural or less than 2500 urban population adjacent to a metro area,8535519,331996199,30
51019,Virginia,Bedford County,82,103.80,36.67,15.32,2.26,513,642.77,30.53,0,13.5,0.00,-100,103.93,2.48,8.1,9.1,21.85,0.0984,0.35,2022-12-13,2022-12-01,2022-12-07,2022-11-30,2022-12-06,2022-12-11,1,11,29,4.7,0.6,-0.5,6.3,10.9,15.92,216.14,2.61,9.2,94,2.52,9.2,10.5,16.3,78997,Metro,Medium metro,Counties in metro areas of 250000 to 1 million population,8535519,331996199,14
